name,lat,lng,country_id,place_type_id
Bay of Plenty,-37.70000108,176.1550024,146,2
Bayan-Olgiy,48.96199799,89.96699733,134,2
Bayanhongor,46.69200005,100.1230024,134,2
Bayern,48.14097299,11.54295039,77,2
Bayrut,33.88332605,35.49999638,113,2
Bazega,12.06399598,-1.333997706,31,2
Bechar,31.60800004,-2.220002677,3,2
Beijing,39.90618905,116.3880364,41,2
Beja,38.01400206,-7.863002567,165,2
Bejaia,36.75699894,5.077998293,3,2
Bekes,46.67200202,21.10100438,92,2
Belgorodskaya oblast',50.59700103,36.61000234,170,2
Belize,17.49600007,-88.18199958,20,2
Ben Tre,10.23499794,106.3749964,225,2
Bengkulu,-3.799998017,102.2666764,95,2
Bengo,-8.577998935,13.66299944,6,2
Benguela,-12.57699595,13.40600431,6,2
Benue,7.747001927,8.52300037,149,2
Beoumi,7.668999053,-5.576003671,50,2
Berat,40.70999696,19.9719994,2,2
Berea,-29.15299796,27.75300332,114,2
Berlin,52.51626892,13.32756936,77,2
Bermuda,32.28903,-64.77916465,22,2
Bern,46.94799599,7.445997304,200,2
Bethanien,-26.50200303,17.16100229,140,2
Beyla,8.686997928,-8.65700061,87,2
Bheri,28.06399803,81.6200014,142,2
Biala Podlaska,52.029999,23.12700328,164,2
Bialystok,53.12999701,23.15899839,164,2
Biankouma,7.733304017,-7.616699667,50,2
Bie,-12.38000404,16.93899934,6,2
Bielsko,49.82100298,19.0530003,164,2
Bihar,25.61400004,85.13499644,94,2
Bihor,47.05800308,21.94200028,169,2
Bilecik,40.14999893,29.98299641,212,2
Biltine,14.53400094,20.92300238,39,2
Bingol,38.88500395,40.49800236,212,2
Binh Dinh,13.76666099,109.2333244,225,2
Binh Thuan,10.92099605,108.1040044,225,2
Bio-Bio,-36.82600195,-73.05499764,40,2
Bioko Norte,3.743604037,8.772561312,62,2
Bioko Sur,3.449996971,8.550000353,62,2
Bishkek,42.87999593,74.77000242,110,2
Biskra,34.85699996,5.726997403,3,2
Bissau,11.86399806,-15.59799872,88,2
Bistrita-Nasaud,47.138004,24.51300339,169,2
Bitlis,38.39400003,42.12299744,212,2
Blekinge,56.20300208,15.29600443,199,2
Blida,36.48099602,2.834001319,3,2
Boaco,12.47100304,-85.66000164,147,2
Bocas del Toro,9.333908965,-82.24938856,158,2
Boffa,10.18500301,-14.0429966,87,2
Boke,10.93899604,-14.29700359,87,2
Bolama,11.58300002,-15.48600269,88,2
